# backend           n         nnz     sym_mean      sym_std     num_mean      num_std     sol_mean      sol_std     tot_mean      tot_std         nnz_L         flops        flop/s    peak_MB   rel_resid
Accelerate       8037      288963     0.004972     0.000110     0.003321     0.000173     0.000726     0.000030     0.009019     0.000133  0.000000e+00  0.000000e+00  0.000000e+00       41.0   1.416e-13
CHOLMOD          8037      288963     0.003637     0.000092     0.006809     0.000120     0.000576     0.000054     0.011022     0.000186  1.333845e+06  4.399717e+08  6.461241e+10       44.5   1.531e-13
MUMPS            8037      288963     0.003145     0.000144     0.013501     0.003450     0.000749     0.000058     0.017396     0.003382  1.500481e+06  3.814101e+08  2.825050e+10       43.9   1.547e-13
CHOLMOD-OpenBLAS     8037      288963     0.003951     0.000086     0.060028     0.011921     0.000930     0.000018     0.064909     0.011959  1.333845e+06  4.399717e+08  7.329491e+09       46.1   1.010e-13
Accelerate       9147      333963     0.005837     0.000171     0.004010     0.000086     0.000810     0.000050     0.010658     0.000252  0.000000e+00  0.000000e+00  0.000000e+00       46.0   1.616e-13
CHOLMOD          9147      333963     0.004222     0.000059     0.007973     0.000152     0.000703     0.000072     0.012898     0.000214  1.596399e+06  5.335252e+08  6.691985e+10       50.9   1.693e-13
MUMPS            9147      333963     0.003529     0.000078     0.012830     0.000363     0.000842     0.000033     0.017200     0.000384  1.964012e+06  6.036065e+08  4.704723e+10       52.3   1.789e-13
CHOLMOD-OpenBLAS     9147      333963     0.004136     0.000062     0.033299     0.010125     0.000996     0.000075     0.038431     0.010174  1.596399e+06  5.335252e+08  1.602207e+10       52.1   1.189e-13
Accelerate      10707      398223     0.006882     0.000134     0.005567     0.000477     0.001283     0.000039     0.013732     0.000605  0.000000e+00  0.000000e+00  0.000000e+00       55.8   1.625e-13
CHOLMOD         10707      398223     0.004867     0.000172     0.011569     0.000406     0.001137     0.000058     0.017574     0.000498  2.267247e+06  9.655209e+08  8.345471e+10       60.5   2.023e-13
MUMPS           10707      398223     0.020436     0.000203     0.026426     0.013195     0.000923     0.000078     0.047785     0.013144  2.354992e+06  6.866767e+08  2.598469e+10       66.2   1.955e-13
CHOLMOD-OpenBLAS    10707      398223     0.005495     0.000035     0.047817     0.002615     0.001475     0.000011     0.054788     0.002621  2.267247e+06  9.655209e+08  2.019200e+10       64.8   1.297e-13
Accelerate      12945      486819     0.008417     0.000110     0.008225     0.000532     0.001813     0.000074     0.018454     0.000594  0.000000e+00  0.000000e+00  0.000000e+00       68.5   1.726e-13
CHOLMOD         12945      486819     0.026054     0.000339     0.013047     0.000424     0.001470     0.000044     0.040571     0.000675  2.606631e+06  9.697734e+08  7.433036e+10       68.6   2.213e-13
MUMPS           12945      486819     0.023769     0.000125     0.017808     0.000669     0.001185     0.000068     0.042761     0.000654  3.247672e+06  1.162032e+09  6.525483e+10       92.9   2.348e-13
CHOLMOD-OpenBLAS    12945      486819     0.025922     0.000136     0.048452     0.010078     0.001646     0.000122     0.076020     0.010007  2.606631e+06  9.697734e+08  2.001522e+10       79.4   1.451e-13
Accelerate      16464      622098     0.011973     0.000118     0.011023     0.000278     0.002220     0.000035     0.025216     0.000340  0.000000e+00  0.000000e+00  0.000000e+00       86.3   2.431e-13
CHOLMOD         16464      622098     0.038462     0.002071     0.017267     0.000248     0.001756     0.000017     0.057485     0.002324  3.531777e+06  1.475274e+09  8.543695e+10       91.0   2.921e-13
MUMPS           16464      622098     0.033074     0.000132     0.024606     0.004809     0.001684     0.000191     0.059364     0.004736  4.271346e+06  1.687335e+09  6.857471e+10      112.2   2.883e-13
CHOLMOD-OpenBLAS    16464      622098     0.035845     0.000133     0.060640     0.004116     0.002084     0.000035     0.098569     0.004222  3.531777e+06  1.475274e+09  2.432856e+10       97.2   1.943e-13
